movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20235841,키메라,La Chimera,2023,20240403,장편,개봉,이탈리아,드라마,이탈리아,드라마
20249220,카니펙스: 죽음의 숲,Carnifex,2022,20240403,장편,개봉,호주,"공포(호러),스릴러",호주,공포(호러)
20247861,잔 뒤 바리,Jeanne du Barry,2023,20240403,장편,개봉,프랑스,드라마,프랑스,드라마
20201502,유미의 세포들 더 무비,YUMI'S CELLS THE MOVIE,2024,20240403,장편,개봉,한국,애니메이션,한국,애니메이션
20248234,신 가면라이더,Shin Kamen Raida,2023,20240403,장편,개봉,일본,"액션,드라마",일본,액션
20249215,발정난 새엄마가 뒷문을 허락했다,,2023,20240403,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20236456,라스트 썸머,Last Summer,2023,20240403,장편,개봉,프랑스,"드라마,멜로/로맨스",프랑스,드라마
20249304,단백질 잘 뽑는 새엄마,,2023,20240403,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249197,남편 몰래 건물주와 섹스하고 있어요,,2022,20240403,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20234772,그날의 딸들,April Tragedy,2023,20240403,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20249198,과부새엄마 욕정 되살린 의붓아들,,2022,20240403,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249196,새엄마와 온천여관-1박2싸,,2023,20240402,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249191,네토의 시작과 끝-남편 상사 씨받기,,2022,20240402,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249192,내 아내에게 씨뿌린 전무님,,2023,20240402,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249213,내 아내가 다른 남자와 싸고 있습니다,,2022,20240402,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20206946,시민덕희,Citizen of a Kind,2021,20240124,장편,개봉,한국,드라마,한국,드라마
20235838,악은 존재하지 않는다,Evil Does Not Exist,2023,20240327,장편,개봉,일본,드라마,일본,드라마
20246982,언더 유어 베드,Under Your Bed,2019,20240401,장편,개봉,일본,"스릴러,범죄",일본,스릴러
20234789,패스트 라이브즈,Past Lives,2023,20240306,장편,개봉,미국,드라마,미국,드라마
20248853,체액 냄새 가득한 오피스 ,SOUMUKANOONANA-02,2023,20240329,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20248832,쫀득한 맛으로 치료하는 변태 상담사,SEXTUKUSUKAUNSERA,2023,20240329,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20248668,짝사랑했던 누나와 드디어 삽입,,2024,20240329,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247614,장모님의 육체적 본능,,2024,20240329,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248854,이웃 청년에게 올라타는 아줌마,SEINOHATUKINSIRIZU-05,2023,20240329,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20248847,의붓아들 팬티 벗긴 새엄마,SEINOHATUKINSIRIZU-08,2023,20240329,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20248695,움찔움찔 즙 터지는 성감대,,2024,20240329,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20249268,신도시 엄마들,,2024,20240329,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247606,시아버지의 성교육,,2024,20240329,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20249186,새엄마 : 아빠 미안해요. 괜찮아 아들아,,2024,20240329,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20249123,어린 며느리 길들이기2,,2024,20240327,장편,개봉,한국,성인물(에로),한국,성인물(에로)
